iter	RMSE
0	3221.577177
1	3051.05073
2	2887.65238
3	2734.203026
4	2589.873826
5	2449.788149
6	2322.158386
7	2198.884597
8	2084.66176
9	1977.638018
10	1878.778646
11	1784.804503
12	1696.629142
13	1612.650262
14	1536.813218
15	1463.305593
16	1395.702682
17	1326.7177
18	1264.272258
19	1206.336869
20	1151.312615
21	1098.968043
22	1049.882952
23	1005.638907
24	963.5217846
25	924.312586
26	886.4623587
27	849.7718126
28	813.8274379
29	779.8905043
30	751.0017658
31	723.0917866
32	696.6380288
33	670.8663376
34	649.8740239
35	628.5713871
36	609.2315938
37	590.6421537
38	571.9749322
39	556.063821
40	540.0240559
41	524.9750366
42	510.8566566
43	497.3891229
44	485.0440667
45	473.9194278
46	461.9487087
47	452.1527953
48	443.0937057
49	434.5735587
50	426.0799683
51	419.0480043
52	412.140655
53	406.2229869
54	400.3686809
55	398.3892809
56	396.8850761
57	395.5409408
58	394.1527525
59	392.8905621
60	391.6580445
61	390.4635589
62	384.9628974
63	379.8246453
64	378.6890231
65	377.5720504
66	373.8017398
67	372.7350461
68	371.6857499
69	370.6554486
70	366.8367881
71	365.6638399
72	361.8723462
73	358.7409509
74	357.8573453
75	356.9083169
76	353.7043078
77	352.8872863
78	352.0614014
79	351.276409
80	350.4407998
81	349.6278588
82	348.9684602
83	348.2676017
84	345.0153101
85	342.1692607
86	341.4619798
87	340.8350614
88	340.1354341
89	336.9863819
90	336.3936446
91	334.0932529
92	333.5352026
93	330.7417113
94	329.9532773
95	327.8419723
96	326.537499
97	326.0326637
98	325.5419757
99	323.3212747
100	321.257116
101	320.813399
102	320.3748652
103	319.1268222
104	318.7014202
105	318.3015706
106	317.9525071
107	317.569587
108	315.4397189
109	313.8867411
110	313.4980929
111	313.1155393
112	312.7901984
113	310.9317761
114	310.6518578
115	310.3539831
116	308.7371791
117	306.3927499
118	305.0214893
119	304.7503339
120	304.4415666
121	302.2204032
122	301.9396407
123	301.7093584
124	300.4153743
125	300.1516631
126	299.7469024
127	299.52799
128	298.7171899
129	298.5140175
130	298.3161789
131	298.0909666
132	296.4587657
133	295.3561695
134	294.5097138
135	294.3331494
136	293.5134422
137	293.3278358
138	292.4370311
139	291.2866817
140	291.0209777
141	290.8709445
142	290.7278533
143	289.5527309
144	288.7236421
145	288.2644017
146	288.0343372
147	287.4621345
148	285.97446
149	285.1150839
150	283.9467548
151	282.9340348
152	282.0783512
153	281.5223166
154	281.1688006
155	280.8155929
156	280.2408304
157	280.0760241
158	279.4041226
159	279.3153993
160	279.0075159
161	278.6778695
162	278.0449951
163	277.9085946
164	276.8797264
165	276.8055598
166	276.2945667
167	276.2230576
168	275.3590329
169	274.9109887
170	274.2468325
171	274.1837434
172	273.7502098
173	273.3554913
174	273.2903538
175	273.0568133
176	272.5907978
177	272.2967907
178	272.2450826
179	271.6926504
180	271.4947709
181	270.9605576
182	270.6553212
183	270.5731934
184	270.3370035
185	269.9942739
186	269.4017335
187	269.3622781
188	269.3235833
189	269.2862751
190	269.2502139
191	269.1260182
192	269.0176648
193	268.3767035
194	267.8286165
195	267.2780551
196	266.9890573
197	266.9525466
198	266.9171201
199	266.5972499
200	266.1795603
201	265.8735154
202	265.5227816
203	265.0330027
204	265.0029176
205	264.5488079
206	264.0879853
207	263.7468815
208	263.5608718
209	263.1514194
210	263.0056316
211	262.7112755
212	262.60932
213	261.8440188
214	261.525048
215	261.1349788
216	260.6203448
217	260.4053393
218	260.231631
219	259.7676685
220	259.4141646
221	258.6053755
222	258.3393878
223	258.0586583
224	257.5836332
225	257.1762376
226	256.8435657
227	256.2533172
228	255.9461865
229	255.5913834
230	255.1827571
231	254.6028205
232	254.3751482
233	254.1747434
234	253.8729088
235	253.4568033
236	253.142036
237	252.9420049
238	252.669664
239	252.3497165
240	252.1237863
241	251.7781391
242	251.2576755
243	250.9646467
244	250.6593205
245	250.4874661
246	250.1065364
247	249.8846841
248	249.5945521
249	249.3173454
250	248.9897341
251	248.7649921
252	248.4326393
253	248.1791621
254	247.7143181
255	247.511771
256	247.1908652
257	246.8483244
258	246.6434285
259	246.2952066
260	246.0553056
261	245.8389334
262	245.6456989
263	245.3248842
264	245.1300875
265	244.8122929
266	244.5842018
267	244.3813881
268	244.1590591
269	243.9037911
270	243.3828813
271	242.881074
272	242.6443905
273	242.4636963
274	242.1297693
275	241.9651653
276	241.7931309
277	241.6083654
278	241.3852474
279	241.1576038
280	240.7489771
281	240.597666
282	240.4543849
283	240.2022012
284	240.056958
285	239.8780015
286	239.7050093
287	239.6237864
288	239.4099943
289	239.058914
290	238.8481928
291	238.5443236
292	238.2503694
293	238.0299719
294	237.7266812
295	237.3989161
296	237.1421153
297	236.8392958
298	236.3734965
299	236.2121914
300	236.0926891
301	235.3851147
302	235.0679688
303	234.9489177
304	234.8485592
305	234.7217227
306	234.5064001
307	234.2241754
308	233.8751425
309	233.5878759
310	233.3744816
311	233.2308257
312	233.1781824
313	232.5548728
314	232.331142
315	232.0647792
316	231.8650484
317	231.790515
318	231.0763252
319	230.9399419
320	230.7229628
321	230.5278201
322	229.9368337
323	229.5920677
324	229.4509714
325	229.3715678
326	229.1541359
327	229.0056816
328	228.8535876
329	228.6309756
330	228.4292829
331	228.1777647
332	228.1133041
333	228.0320978
334	227.7901595
335	227.4958817
336	227.3665273
337	227.2751235
338	226.6517607
339	226.4449818
340	226.2143785
341	226.0747415
342	226.0028215
343	225.8058292
344	225.6161759
345	225.5760946
346	225.4263628
347	225.3113476
348	225.0754921
349	224.8813466
350	224.6481216
351	224.5074115
352	224.407619
353	224.3007612
354	224.0092817
355	223.8472271
356	223.630967
357	223.4713722
358	223.3304535
359	223.1373725
360	222.9143589
361	222.6263934
362	222.459998
363	222.2850578
364	222.0038477
365	221.8484587
366	221.7346262
367	221.6443118
368	221.3715697
369	221.2812176
370	221.1362785
371	221.1014719
372	220.9613166
373	220.8220126
374	220.6647552
375	220.6149476
376	220.5120408
377	220.3861382
378	219.8260617
379	219.5635487
380	219.3721509
381	219.250021
382	218.9888887
383	218.898319
384	218.8063292
385	218.6830738
386	218.6344237
387	218.4950554
388	218.347107
389	218.0951163
390	217.7615909
391	217.604405
392	217.4987899
393	217.4425688
394	217.2131175
395	217.1583188
396	217.0364367
397	216.957083
398	216.8705923
399	216.6984885
400	216.4728015
401	216.3748197
402	216.23265
403	215.9564165
404	215.7124079
405	215.575194
406	215.5267778
407	215.3419161
408	215.2018093
409	215.1679329
410	214.9584101
411	214.7564298
412	214.3360552
413	214.1606382
414	214.1149135
415	214.0442933
416	213.9074865
417	213.8637661
418	213.8139516
419	213.2541829
420	213.182038
421	212.9691713
422	212.8294101
423	212.6424506
424	212.4728946
425	212.4338241
426	212.2894445
427	212.1835952
428	212.027184
429	211.7528022
