iter	Passed	Remaining
0	5	5029
1	8	4004
2	10	3579
3	13	3345
4	16	3296
5	20	3430
6	24	3491
7	29	3698
8	32	3588
9	36	3620
10	39	3536
11	42	3459
12	45	3418
13	47	3358
14	52	3446
15	56	3466
16	59	3421
17	63	3440
18	67	3478
19	70	3471
20	74	3471
21	77	3442
22	80	3406
23	83	3399
24	86	3366
25	88	3330
26	91	3300
27	94	3281
28	97	3253
29	99	3228
30	102	3201
31	105	3183
32	107	3162
33	110	3145
34	113	3136
35	118	3168
36	120	3145
37	123	3138
38	126	3122
39	129	3106
40	134	3143
41	137	3131
42	140	3121
43	143	3116
44	146	3112
45	149	3095
46	152	3091
47	155	3076
48	157	3060
49	160	3052
50	163	3039
51	165	3025
52	168	3010
53	171	3003
54	174	2990
55	176	2975
56	181	3001
57	183	2975
58	186	2969
59	188	2952
60	191	2945
61	193	2932
62	198	2955
63	201	2946
64	203	2923
65	206	2916
66	209	2911
67	212	2911
68	215	2904
69	217	2892
70	221	2894
71	224	2889
72	227	2885
73	230	2878
74	232	2865
75	234	2854
76	237	2843
77	239	2825
78	241	2815
79	245	2827
80	248	2823
81	251	2813
82	253	2804
83	255	2791
84	261	2811
85	265	2817
86	268	2814
87	269	2797
88	272	2784
89	275	2783
90	278	2780
91	281	2775
92	283	2766
93	286	2761
94	288	2752
95	293	2762
96	296	2761
97	299	2754
98	301	2748
99	305	2746
100	310	2759
101	312	2752
102	315	2744
103	318	2741
104	319	2725
105	323	2726
106	326	2723
107	328	2717
108	331	2712
109	335	2712
110	337	2704
111	340	2698
112	342	2689
113	345	2686
114	348	2678
115	349	2663
116	352	2659
117	355	2658
118	358	2653
119	359	2638
120	362	2634
121	365	2629
122	367	2622
123	370	2616
124	373	2616
125	376	2614
126	380	2614
127	382	2602
128	384	2596
129	386	2583
130	389	2582
131	392	2578
132	394	2574
133	397	2568
134	400	2565
135	404	2568
136	407	2566
137	410	2564
138	413	2561
139	416	2559
140	419	2557
141	422	2552
142	424	2541
143	426	2537
144	429	2534
145	432	2528
146	435	2525
147	438	2527
148	441	2524
149	444	2518
150	447	2516
151	452	2522
152	455	2521
153	459	2524
154	463	2525
155	466	2525
156	469	2523
157	472	2515
158	474	2510
159	477	2506
160	480	2501
161	483	2499
162	486	2497
163	488	2492
164	491	2488
165	494	2482
166	496	2478
167	500	2480
168	503	2477
169	507	2475
170	509	2471
171	512	2466
172	516	2470
173	519	2465
174	521	2460
175	524	2455
176	528	2455
177	531	2453
178	532	2443
179	535	2440
180	538	2436
181	541	2432
182	543	2427
183	546	2425
